node_name,event_type
Node5374,Speciation
Node5375,Speciation
Node5376,Speciation
Node5377,Speciation
Node5378,Speciation
Node5379,Speciation
Node5380,Speciation
Node5381,Speciation
Node5382,Speciation
Node5393,Speciation
Node5395,Speciation
Node5394,Speciation
Node5383,Speciation
Node5384,Speciation
Node5385,Speciation
Node5386,Speciation
Node5389,Speciation
Node5387,Speciation
Node5388,Speciation
Node5390,Speciation
Node5391,Speciation
Node5392,Speciation
Node5444,Speciation
Node5445,Speciation
Node5446,Speciation
Node5447,Speciation
Node5469,Speciation
Node5470,Speciation
Node5471,Speciation
Node5448,Speciation
Node5449,Speciation
Node5468,Speciation
Node5450,Speciation
Node5451,Speciation
Node5452,Speciation
Node5464,Speciation
